股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
2344,華邦電子,8000000,4800000,-3200000,2.114%,1.217%
3017,奇鋐科技,9000,500000,491000,0.033%,1.894%
3037,欣興電子,3600000,3700000,100000,5.207%,5.006%
3189,景碩科技,2650000,2800000,150000,3.273%,3.212%
3665,貿聯-KY,450000,260000,-190000,1.258%,0.733%
6223,旺矽科技,430000,480000,50000,4.004%,4.813%
6515,穎崴科技,200000,210000,10000,2.473%,2.702%
6669,緯穎科技,185000,260000,75000,1.295%,1.869%
8046,南亞電路,2100000,2200000,100000,3.432%,3.482%
8210,勤誠興業,690000,410000,-280000,1.243%,0.742%
8996,高力熱處,620000,470000,-150000,1.341%,0.919%
