股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
285A JP,KIOXIA HOLDINGS CORP,225000.0,200000.0,-25000.0,5.38%,4.27%
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,0.0,134988.0,134988.0,0%,0.51%
4062 JP,IBIDEN CO LTD,275000.0,130000.0,-145000.0,1.74%,0.78%
AIXA GY,AIXTRON SE,380000.0,350000.0,-30000.0,0.97%,0.90%
COHR US,COHERENT INC,27500.0,0.0,-27500.0,0.44%,0%
FTNT US,FORTINET INC,160000.0,170000.0,10000.0,1.40%,1.52%
LITE US,LUMENTUM HOLDINGS INC,44000.0,37000.0,-7000.0,1.75%,1.46%
MRVL US,MARVELL TECHNOLOGY INC,230000.0,190000.0,-40000.0,2.52%,1.99%
MU US,MICRON TECHNOLOGY INC,106000.0,96000.0,-10000.0,5.08%,4.56%
NOW US,SERVICENOW INC,200000.0,270000.0,70000.0,1.11%,1.57%
PANW US,PALO ALTO NETWORKS INC,0.0,50000.0,50000.0,0%,0.99%
SNDK US,SANDISK CORP,48000.0,44331.0,-3669.0,4.11%,3.49%
TSEM US,TOWER SEMICONDUCTOR LTD,68000.0,105000.0,37000.0,0.90%,1.39%
WDC US,WESTERN DIGITAL CORP,90000.0,70000.0,-20000.0,2.45%,1.82%
