股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
2327,國巨股份,6150000.0,6400000.0,250000.0,8.968%,8.710%
2330,台灣積體,3400000.0,3500000.0,100000.0,11.584%,11.660%
2383,台光電子,850000.0,1000000.0,150000.0,6.643%,7.414%
2412,中華電信,1000.0,0.0,-1000.0,0.000%,0%
2454,聯發科技,900000.0,930000.0,30000.0,5.405%,5.195%
3017,奇鋐科技,500000.0,660000.0,160000.0,1.894%,2.386%
3026,禾伸堂企,0.0,900000.0,900000.0,0%,1.174%
3037,欣興電子,3700000.0,3900000.0,200000.0,5.006%,4.843%
3711,日月光投,2700000.0,3000000.0,300000.0,2.713%,2.759%
4958,臻鼎-KY,1500000.0,9000.0,-1491000.0,1.240%,0.007%
5274,信驊科技,120000.0,115000.0,-5000.0,2.944%,2.534%
6223,旺矽科技,480000.0,520000.0,40000.0,4.813%,4.827%
6274,台燿科技,1800000.0,2000000.0,200000.0,4.204%,4.415%
6669,緯穎科技,260000.0,350000.0,90000.0,1.869%,2.387%
8046,南亞電路,2200000.0,2400000.0,200000.0,3.482%,3.494%
8996,高力熱處,470000.0,1000.0,-469000.0,0.919%,0.002%
