股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
2308,台達電子工業,103000.0,98000.0,-5000.0,3.65%,3.49%
2345,智邦科技,117000.0,110000.0,-7000.0,5.54%,5.46%
2368,金像電子,140000.0,135000.0,-5000.0,3.04%,3.01%
2454,聯發科技,82000.0,74000.0,-8000.0,6.32%,5.81%
2885,元大金融控股,623000.0,493000.0,-130000.0,0.73%,0.59%
3017,奇鋐科技,85000.0,80000.0,-5000.0,3.96%,3.96%
3711,日月光投資控股,210000.0,207000.0,-3000.0,2.63%,2.72%
5536,聖暉工程科技,0.0,3000.0,3000.0,0%,0.08%
6510,中華精測科技,14000.0,8000.0,-6000.0,0.82%,0.47%
6805,富世達股份有限公司,11000.0,9000.0,-2000.0,0.33%,0.27%
8358,金居開發,96000.0,50000.0,-46000.0,1.00%,0.51%
