股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
2059,川湖科技,330000.0,360000.0,30000.0,3.622%,3.910%
2327,國巨股份,6400000.0,6900000.0,500000.0,7.731%,7.569%
2330,台灣積體,3900000.0,4200000.0,300000.0,13.034%,13.777%
2345,智邦科技,1160000.0,1200000.0,40000.0,3.798%,3.880%
2383,台光電子,1100000.0,1200000.0,100000.0,7.927%,8.268%
2408,南亞科技,9000000.0,9500000.0,500000.0,4.832%,5.402%
2492,華新科技,3200000.0,3600000.0,400000.0,2.057%,2.028%
2883,凱基金融,0.0,9000.0,9000.0,0%,0.000%
3026,禾伸堂企,1800000.0,2000000.0,200000.0,2.326%,2.433%
3037,欣興電子,3900000.0,4000000.0,100000.0,4.563%,4.856%
3324,雙鴻科技,1000.0,0.0,-1000.0,0.001%,0%
5274,信驊科技,126500.0,62500.0,-64000.0,2.397%,1.136%
6223,旺矽科技,530000.0,550000.0,20000.0,4.642%,4.909%
