股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
2027,大成不銹鋼工業,1404000.0,2686000.0,1282000.0,0.55%,1.09%
2059,川湖科技,37000.0,41000.0,4000.0,2.98%,3.43%
2330,台灣積體電路製造,971000.0,905000.0,-66000.0,23.66%,21.73%
2360,致茂電子,90000.0,79000.0,-11000.0,1.65%,1.48%
2368,金像電子（股）公司,108000.0,98000.0,-10000.0,1.1%,0.99%
2383,台光電子材料,41000.0,48000.0,7000.0,2.05%,2.4%
2408,南亞科技,382000.0,470000.0,88000.0,1.72%,2.22%
2454,聯發科技,33000.0,30000.0,-3000.0,1.22%,1.1%
3037,欣興電子,6000.0,40000.0,34000.0,0.05%,0.37%
3081,聯亞光電工業,67000.0,73700.0,6700.0,1.3%,1.27%
3131,弘塑科技,58000.0,52000.0,-6000.0,1.78%,1.64%
3293,鈊象電子,156000.0,146000.0,-10000.0,1.12%,1.01%
4958,臻鼎科技控股,413000.0,443000.0,30000.0,2.62%,2.69%
6223,旺矽科技,20000.0,18000.0,-2000.0,1.28%,1.12%
6442,光紅建聖,225000.0,233000.0,8000.0,2.98%,3.28%
6505,台塑石化,867000.0,2880000.0,2013000.0,0.58%,2.06%
8046,南亞電路板,95000.0,80000.0,-15000.0,1.23%,1.11%
8299,群聯電子,61000.0,99000.0,38000.0,1.26%,2.05%
