股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
2059,川湖科技,360000,380000,20000,3.822%,4.114%
2327,國巨股份,6900000,7200000,300000,7.129%,7.317%
2345,智邦科技,1200000,1300000,100000,3.633%,3.874%
2383,台光電子,1200000,1250000,50000,7.920%,8.087%
2408,南亞科技,9800000,10100000,300000,5.830%,6.187%
2454,聯發科技,950000,1000000,50000,4.617%,4.763%
3017,奇鋐科技,660000,730000,70000,1.858%,2.013%
3026,禾伸堂企,2000000,2200000,200000,2.165%,2.348%
3037,欣興電子,4100000,4250000,150000,4.759%,5.066%
3665,貿聯-KY,260000,460000,200000,0.613%,1.119%
3711,日月光投,3200000,3400000,200000,2.724%,2.957%
6223,旺矽科技,560000,580000,20000,4.715%,4.676%
6274,台燿科技,2000000,2100000,100000,3.705%,3.838%
7769,鴻勁精密,320000,340000,20000,2.718%,2.910%
8046,南亞電路,2700000,2800000,100000,4.625%,5.046%
