股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
1785,光洋科,4349000.0,4461000.0,112000.0,1%,1%
2059,川湖,183000.0,185000.0,2000.0,3.08%,3.09%
2303,聯電,8952000.0,9065000.0,113000.0,2.75%,2.54%
2316,楠梓電,3388000.0,3451000.0,63000.0,1.15%,1.14%
2345,智邦,798000.0,812000.0,14000.0,3.56%,3.66%
2351,順德,1706000.0,1729000.0,23000.0,0.63%,0.58%
2360,致茂,823000.0,837000.0,14000.0,3.25%,3.31%
2368,金像電,388000.0,396000.0,8000.0,0.77%,0.79%
2376,技嘉,1058000.0,1065000.0,7000.0,0.73%,0.76%
2377,微星,5652000.0,5722000.0,70000.0,1.71%,1.74%
2383,台光電,327000.0,332000.0,5000.0,3.14%,3.14%
2451,創見,519000.0,530000.0,11000.0,0.25%,0.25%
2454,聯發科,861000.0,869000.0,8000.0,6.19%,6.25%
2467,志聖,1446000.0,1470000.0,24000.0,1.72%,1.65%
2472,立隆電,2342000.0,2383000.0,41000.0,1.44%,1.36%
2885,元大金,2114420.0,2128420.0,14000.0,0.29%,0.29%
3008,大立光,241000.0,243000.0,2000.0,2.06%,2.03%
3036,文曄,2283000.0,2336000.0,53000.0,0.92%,0.94%
3105,穩懋,4143000.0,4226000.0,83000.0,2.94%,2.85%
3264,欣銓,4628000.0,4780000.0,152000.0,2.11%,2.03%
3491,昇達科,967000.0,988000.0,21000.0,2.79%,2.6%
3583,辛耘,1111000.0,1130000.0,19000.0,1.77%,1.77%
3702,大聯大,5473000.0,5565000.0,92000.0,1.28%,1.28%
3711,日月光投控,1000000.0,1011000.0,11000.0,1.31%,1.3%
4958,臻鼎-KY,3147000.0,3178000.0,31000.0,3.5%,3.28%
5274,信驊,12900.0,30900.0,18000.0,0.36%,0.86%
5536,聖暉*,3729000.0,3775000.0,46000.0,9.07%,9.27%
6139,亞翔,3067000.0,3099000.0,32000.0,5.23%,5.17%
6147,頎邦,2300000.0,2409000.0,109000.0,0.88%,0.85%
6257,矽格,4647000.0,4717000.0,70000.0,2.13%,2.14%
6274,台燿,438000.0,447000.0,9000.0,1.09%,1.08%
6278,台表科,2179000.0,2242000.0,63000.0,0.76%,0.76%
6488,環球晶,1137000.0,1146000.0,9000.0,3.01%,3.12%
6531,愛普*,862000.0,868000.0,6000.0,1.51%,1.46%
6669,緯穎,298000.0,303000.0,5000.0,2.94%,3.06%
6831,邁科,0.0,4000.0,4000.0,0%,0%
7769,鴻勁,91000.0,93000.0,2000.0,1.18%,1.2%
8016,矽創,2193000.0,2228000.0,35000.0,1.34%,1.31%
8996,高力,376000.0,382000.0,6000.0,0.81%,0.8%
