股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
2027,大成不銹鋼工業,2686000.0,3884000.0,1198000.0,1.09%,1.66%
2360,致茂電子,79000.0,56000.0,-23000.0,1.55%,1.09%
2412,中華電信,1431000.0,1885000.0,454000.0,1.92%,2.74%
3017,奇鋐科技,62000.0,44000.0,-18000.0,1.36%,1.02%
3081,聯亞光電工業,73700.0,59000.0,-14700.0,1.18%,0.92%
3131,弘塑科技,52000.0,38000.0,-14000.0,1.67%,1.17%
4904,遠傳電信,2019000.0,2538000.0,519000.0,2.02%,2.75%
6223,旺矽科技,18000.0,13000.0,-5000.0,1.11%,0.77%
6415,矽力杰,98000.0,63000.0,-35000.0,0.46%,0.29%
6505,台塑石化,2880000.0,3200000.0,320000.0,2.28%,2.74%
8046,南亞電路板,80000.0,64000.0,-16000.0,1.01%,0.78%
