股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
1802,台灣玻璃工業,1555000.0,1366000.0,-189000.0,0.99%,0.86%
2027,大成不銹鋼工業,0.0,1404000.0,1404000.0,0%,0.55%
2049,上銀科技,302000.0,266000.0,-36000.0,0.98%,0.87%
2308,台達電子工業,68000.0,59000.0,-9000.0,1.26%,1.1%
2330,台灣積體電路製造,1096000.0,971000.0,-125000.0,26%,23.35%
2368,金像電子（股）公司,121000.0,108000.0,-13000.0,1.28%,1.11%
2395,研華,545000.0,580000.0,35000.0,2.89%,3.06%
2454,聯發科技,38000.0,33000.0,-5000.0,1.47%,1.24%
2881,富邦金融控股,589000.0,511000.0,-78000.0,0.72%,0.64%
3017,奇鋐科技,68000.0,62000.0,-6000.0,1.57%,1.36%
3036,文曄科技,1111000.0,1242000.0,131000.0,2.31%,2.58%
3131,弘塑科技,65000.0,58000.0,-7000.0,2.11%,1.84%
3533,嘉澤端子工業,10000.0,0.0,-10000.0,0.19%,0%
3653,健策精密工業,37000.0,32000.0,-5000.0,1.16%,1.01%
3711,日月光投資控股,140000.0,125000.0,-15000.0,0.93%,0.83%
4904,遠傳電信,584000.0,2019000.0,1435000.0,0.55%,1.91%
6147,頎邦科技,911000.0,1147000.0,236000.0,1.94%,2.24%
6187,萬潤科技,193000.0,225000.0,32000.0,1.99%,2.3%
6223,旺矽科技,22000.0,20000.0,-2000.0,1.53%,1.31%
6239,力成科技,12000.0,0.0,-12000.0,0.04%,0%
6442,光紅建聖,200000.0,225000.0,25000.0,2.91%,3.05%
6505,台塑石化,0.0,867000.0,867000.0,0%,0.54%
7769,鴻勁精密,13000.0,11000.0,-2000.0,0.85%,0.73%
8046,南亞電路板,118000.0,95000.0,-23000.0,1.41%,1.19%
