股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
1303,南亞,1687000.0,615000.0,-1072000.0,1.20%,0.41%
2344,華邦電,1857000.0,0.0,-1857000.0,1.30%,0%
2383,台光電,320000.0,281000.0,-39000.0,6.73%,5.80%
3131,弘塑,42000.0,25000.0,-17000.0,0.55%,0.32%
3443,創意,25000.0,79000.0,54000.0,0.44%,1.40%
3665,貿聯-KY,207000.0,331000.0,124000.0,1.55%,2.59%
5274,信驊,34000.0,37400.0,3400.0,2.12%,2.13%
6442,光聖,16000.0,77000.0,61000.0,0.10%,0.47%
6515,穎崴,12000.0,27000.0,15000.0,0.41%,0.86%
6669,緯穎,140000.0,203000.0,63000.0,2.71%,4.03%
