股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
000660 KS,SK HYNIX INC,12000,20000.0,8000.0,0.93%,1.45%
2330,台積電,450000,550000.0,100000.0,1.87%,2.27%
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,399909,599909.0,200000.0,0.45%,0.62%
6223,旺矽,115000,145000.0,30000.0,1.24%,1.56%
6787 JP,MEIKO ELECTRONICS CO LTD,50000,0.0,-50000.0,0.45%,0%
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),195000,205000.0,10000.0,5.52%,5.69%
BE US,BLOOM ENERGY CORP- A,230000,250000.0,20000.0,3.40%,3.41%
COHR US,COHERENT INC,55000,27500.0,-27500.0,0.95%,0.47%
LITE US,LUMENTUM HOLDINGS INC,62000,44000.0,-18000.0,2.38%,1.67%
VSH US,VISHAY INTERTECHNOLOGY INC,700429,500000.0,-200429.0,1.62%,1.13%
