股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
2327,國巨*,1000000.0,1400000.0,400000.0,1.69%,2.36%
2330,台積電,400000.0,450000.0,50000.0,1.56%,1.73%
285A JP,KIOXIA HOLDINGS CORP,195000.0,204800.0,9800.0,5.90%,5.79%
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,0.0,399909.0,399909.0,0%,0.51%
5274,信驊,29000.0,0.0,-29000.0,0.75%,0%
6515,穎崴,62000.0,30000.0,-32000.0,0.84%,0.39%
688146 CH,PERIC SPECIAL GASES CO LTD-A,200000.0,240000.0,40000.0,0.60%,0.68%
6976 JP,TAIYO YUDEN CO LTD,415000.0,529500.0,114500.0,2.28%,3.15%
AMAT US,APPLIED MATERIALS INC,25000.0,65000.0,40000.0,0.83%,2.34%
BESI NA,BE SEMICONDUCTOR INDUSTRIES,90000.0,60000.0,-30000.0,1.53%,0.99%
SOI FP,S.O.I.T.E.C.,27000.0,0.0,-27000.0,0.19%,0%
