股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
1785,光洋科,5491000.0,5455000.0,-36000.0,1.44%,1.51%
2303,聯電,8964000.0,8921000.0,-43000.0,2.8%,2.7%
2327,國巨*,849000.0,845000.0,-4000.0,1.79%,1.63%
2345,智邦,799000.0,794000.0,-5000.0,3.92%,3.99%
2368,金像電,389000.0,386000.0,-3000.0,0.88%,0.87%
2376,技嘉,1060000.0,1056000.0,-4000.0,0.66%,0.65%
2377,微星,5663000.0,5638000.0,-25000.0,1.52%,1.47%
2383,台光電,328000.0,326000.0,-2000.0,3.35%,3.37%
2454,聯發科,862000.0,857000.0,-5000.0,6.9%,6.8%
2467,志聖,1450000.0,1439000.0,-11000.0,1.73%,1.73%
2472,立隆電,2356000.0,2342000.0,-14000.0,1.85%,1.83%
3008,大立光,200000.0,199000.0,-1000.0,1.6%,1.56%
3036,文曄,2290000.0,2269000.0,-21000.0,0.89%,0.9%
3583,辛耘,1113000.0,1105000.0,-8000.0,1.86%,1.83%
3702,大聯大,5380000.0,5340000.0,-40000.0,1.09%,1.05%
3711,日月光投控,1002000.0,996000.0,-6000.0,1.3%,1.32%
5536,聖暉*,3734000.0,3716000.0,-18000.0,9.24%,9.7%
6257,矽格,4657000.0,4627000.0,-30000.0,2.11%,2.12%
6274,台燿,439000.0,436000.0,-3000.0,1.37%,1.35%
6278,台表科,2184000.0,2167000.0,-17000.0,0.83%,0.86%
6488,環球晶,1140000.0,1134000.0,-6000.0,2.33%,2.5%
6669,緯穎,294000.0,297000.0,3000.0,2.73%,2.82%
7769,鴻勁,92000.0,91000.0,-1000.0,1.18%,1.17%
8016,矽創,2198000.0,2185000.0,-13000.0,1.38%,1.31%
