股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
1216,統一企業,1679000.0,1303000.0,-376000.0,1.19%,0.94%
1802,台灣玻璃工業,1910000.0,1555000.0,-355000.0,1.27%,1.01%
2049,上銀科技,372000.0,302000.0,-70000.0,1.24%,1%
2344,華邦電子,659000.0,851000.0,192000.0,1.14%,1.48%
2360,致茂電子,114000.0,90000.0,-24000.0,2.39%,1.93%
2368,金像電子（股）公司,159000.0,121000.0,-38000.0,1.86%,1.49%
2376,技嘉科技,922000.0,1064000.0,142000.0,2.95%,3.4%
2395,研華,428000.0,545000.0,117000.0,2.07%,2.68%
2408,南亞科技,295000.0,382000.0,87000.0,1.14%,1.48%
2454,聯發科技,46000.0,38000.0,-8000.0,1.89%,1.51%
2881,富邦金融控股,740000.0,589000.0,-151000.0,0.84%,0.67%
2891,中國信託金融控股,977000.0,771000.0,-206000.0,0.65%,0.51%
3008,大立光電,53000.0,68000.0,15000.0,2.16%,2.72%
3081,聯亞光電工業,90000.0,67000.0,-23000.0,1.65%,1.33%
3105,穩懋半導體,187000.0,149000.0,-38000.0,0.73%,0.58%
3293,鈊象電子,195000.0,156000.0,-39000.0,1.48%,1.17%
3529,力旺電子,31000.0,25000.0,-6000.0,0.87%,0.65%
3653,健策精密工業,46000.0,37000.0,-9000.0,1.51%,1.2%
3711,日月光投資控股,163000.0,140000.0,-23000.0,1.12%,0.9%
6147,頎邦科技,491000.0,911000.0,420000.0,0.98%,1.86%
6187,萬潤科技,115000.0,193000.0,78000.0,1.09%,1.88%
6415,矽力杰,119000.0,98000.0,-21000.0,0.7%,0.56%
6442,光紅建聖,162000.0,200000.0,38000.0,2.51%,3.1%
6488,環球晶圓,50000.0,40000.0,-10000.0,0.57%,0.47%
6669,緯穎科技服務,19000.0,15000.0,-4000.0,0.94%,0.75%
7769,鴻勁精密,16000.0,13000.0,-3000.0,1.06%,0.84%
8046,南亞電路板,148000.0,118000.0,-30000.0,1.6%,1.32%
8996,高力熱處理工業,70000.0,59000.0,-11000.0,0.94%,0.77%
