股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
2330,台灣積體,3500000,3800000,300000,11.660%,12.980%
2345,智邦科技,1000000,1100000,100000,3.582%,3.781%
2383,台光電子,1000000,1100000,100000,7.414%,8.038%
2454,聯發科技,930000,950000,20000,5.195%,5.360%
3711,日月光投,3000000,3200000,200000,2.759%,2.916%
5274,信驊科技,115000,126500,11500,2.534%,2.553%
6223,旺矽科技,520000,530000,10000,4.827%,4.682%
6515,穎崴科技,210000,220000,10000,2.535%,2.472%
8046,南亞電路,2400000,2600000,200000,3.494%,3.749%
8210,勤誠興業,410000,1000,-409000,0.716%,0.002%
