股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
1216,統一企業,2081000.0,1679000.0,-402000.0,1.47%,1.17%
1802,台灣玻璃工業,2696000.0,2257000.0,-439000.0,1.92%,1.51%
2049,上銀科技,600000.0,451000.0,-149000.0,1.85%,1.48%
2303,聯華電子,687000.0,1204000.0,517000.0,1.07%,1.91%
2317,鴻海精密工業,78000.0,64000.0,-14000.0,0.19%,0.15%
2344,華邦電子,259000.0,553000.0,294000.0,0.51%,0.99%
2345,智邦科技,66000.0,92000.0,26000.0,1.56%,2.3%
2376,技嘉科技,723000.0,922000.0,199000.0,2.36%,2.92%
2395,研華,407000.0,321000.0,-86000.0,1.9%,1.52%
2408,南亞科技,95000.0,250000.0,155000.0,0.41%,0.99%
2412,中華電信,1778000.0,1431000.0,-347000.0,2.39%,1.9%
2881,富邦金融控股,1027000.0,864000.0,-163000.0,1.26%,0.99%
2891,中國信託金融控股,1217000.0,977000.0,-240000.0,0.82%,0.65%
3008,大立光電,31000.0,50000.0,19000.0,1.26%,2.03%
3081,聯亞光電工業,112000.0,90000.0,-22000.0,2.15%,1.67%
3105,穩懋半導體,267000.0,216000.0,-51000.0,1.08%,0.85%
3131,弘塑科技,84000.0,65000.0,-19000.0,2.9%,2.25%
3293,鈊象電子,245000.0,195000.0,-50000.0,1.84%,1.5%
3529,力旺電子,49000.0,38000.0,-11000.0,1.36%,1.05%
3533,嘉澤端子工業,13000.0,10000.0,-3000.0,0.26%,0.2%
3653,健策精密工業,68000.0,55000.0,-13000.0,2.22%,1.76%
3661,世芯電子,61000.0,73000.0,12000.0,2.42%,3.05%
3665,貿聯控股（BizLink Holding In,17000.0,13000.0,-4000.0,0.31%,0.25%
3711,日月光投資控股,253000.0,196000.0,-57000.0,1.63%,1.29%
4904,遠傳電信,713000.0,584000.0,-129000.0,0.71%,0.57%
6223,旺矽科技,40000.0,29000.0,-11000.0,2.31%,1.82%
6239,力成科技,16000.0,12000.0,-4000.0,0.05%,0.04%
6415,矽力杰,144000.0,119000.0,-25000.0,0.82%,0.66%
6442,光紅建聖,78000.0,136000.0,58000.0,1.22%,2.01%
6488,環球晶圓,90000.0,65000.0,-25000.0,0.86%,0.67%
6669,緯穎科技服務,33000.0,24000.0,-9000.0,1.45%,1.13%
6805,富世達,18000.0,14000.0,-4000.0,0.29%,0.22%
7769,鴻勁精密,28000.0,20000.0,-8000.0,1.72%,1.31%
8046,南亞電路板,219000.0,175000.0,-44000.0,2.47%,1.93%
8299,群聯電子,44000.0,60000.0,16000.0,1%,1.28%
8996,高力熱處理工業,98000.0,77000.0,-21000.0,1.44%,1.12%
