股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
2330,台積電,620000,750000,130000,2.64%,3.11%
285A JP,KIOXIA HOLDINGS CORP,200000,180000,-20000,4.27%,3.39%
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,134988,189988,55000,0.51%,0.70%
4062 JP,IBIDEN CO LTD,130000,60000,-70000,0.78%,0.34%
6274,台燿,375000,255000,-120000,0.84%,0.54%
6278 JP,UNION TOOL CO,90000,30000,-60000,0.58%,0.19%
6976 JP,TAIYO YUDEN CO LTD,760000,600000,-160000,3.27%,2.39%
AIXA GY,AIXTRON SE,350000,310000,-40000,0.90%,0.82%
FTNT US,FORTINET INC,170000,200000,30000,1.52%,1.89%
MRVL US,MARVELL TECHNOLOGY INC,190000,130000,-60000,1.99%,1.44%
PANW US,PALO ALTO NETWORKS INC,50000,70000,20000,0.99%,1.47%
SNDK US,SANDISK CORP,44331,35000,-9331,3.49%,2.78%
WDC US,WESTERN DIGITAL CORP,70000,50000,-20000,1.82%,1.40%
