股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
1785,光洋科,5455000.0,4349000.0,-1106000.0,1.38%,1.05%
2303,聯電,8921000.0,8952000.0,31000.0,2.69%,2.73%
2316,楠梓電,3375000.0,3388000.0,13000.0,1.23%,1.26%
2345,智邦,794000.0,798000.0,4000.0,3.75%,3.67%
2351,順德,1700000.0,1706000.0,6000.0,0.7%,0.67%
2368,金像電,386000.0,388000.0,2000.0,0.79%,0.8%
2376,技嘉,1056000.0,1058000.0,2000.0,0.7%,0.71%
2377,微星,5638000.0,5652000.0,14000.0,1.65%,1.68%
2383,台光電,326000.0,327000.0,1000.0,3.28%,3.28%
2454,聯發科,857000.0,861000.0,4000.0,6.43%,6.36%
2467,志聖,1439000.0,1446000.0,7000.0,1.68%,1.56%
3008,大立光,199000.0,201000.0,2000.0,1.7%,1.73%
3036,文曄,2269000.0,2283000.0,14000.0,0.94%,0.94%
3583,辛耘,1105000.0,1111000.0,6000.0,1.72%,1.72%
3702,大聯大,5340000.0,5473000.0,133000.0,1.23%,1.32%
3711,日月光投控,996000.0,1000000.0,4000.0,1.31%,1.29%
5536,聖暉*,3716000.0,3729000.0,13000.0,8.6%,8.7%
6257,矽格,4627000.0,4647000.0,20000.0,2.13%,2.11%
6274,台燿,436000.0,438000.0,2000.0,1.33%,1.23%
6278,台表科,2167000.0,2179000.0,12000.0,0.77%,0.76%
6488,環球晶,1134000.0,1137000.0,3000.0,3.3%,3.48%
6531,愛普*,694000.0,696000.0,2000.0,1.22%,1.21%
6669,緯穎,297000.0,298000.0,1000.0,2.89%,2.95%
8016,矽創,2185000.0,2193000.0,8000.0,1.4%,1.37%
