股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
2383,台光電,330000.0,370000.0,40000.0,2.71%,3.10%
3017,奇鋐,215000.0,115000.0,-100000.0,0.75%,0.41%
3711,日月光投控,1400000.0,1800000.0,400000.0,1.48%,2.02%
6920 JP,LASERTEC CORP,87500.0,130000.0,42500.0,1.29%,2.11%
BE US,BLOOM ENERGY CORP- A,280000.0,310000.0,30000.0,3.62%,3.93%
KLAC US,KLA CORP,130000.0,160000.0,30000.0,1.59%,1.90%
TSEM US,TOWER SEMICONDUCTOR LTD,0.0,68000.0,68000.0,0%,0.90%
VECO US,VEECO INSTRUMENTS INC,400000.0,500000.0,100000.0,1.23%,1.51%
VSH US,VISHAY INTERTECHNOLOGY INC,250000.0,0.0,-250000.0,0.55%,0%
